255	255	255	255	255	255	255	255	255	234	237	214	233	255	255	255	255	255
255	255	255	255	255	255	255	255	237	82	82	49	112	247	255	255	255	255
255	255	255	255	255	255	255	253	167	16	0	0	22	201	255	255	255	255
255	255	255	255	255	255	255	195	36	1	33	10	23	208	255	255	255	255
255	255	255	255	255	255	216	69	0	41	150	30	34	219	255	255	255	255
255	255	255	255	255	240	89	2	15	166	175	10	64	243	255	255	255	255
255	255	255	255	247	147	14	3	95	240	163	6	75	247	255	255	255	255
255	255	255	244	130	16	5	93	226	227	58	4	132	253	255	255	255	255
255	255	249	154	19	0	41	196	218	150	14	16	190	255	255	255	255	255
255	255	217	44	0	0	11	36	29	10	1	4	105	238	255	255	255	255
255	233	114	3	9	27	4	1	7	2	0	7	40	180	255	255	255	255
241	116	6	9	114	208	139	134	159	37	3	107	221	248	255	255	255	255
144	10	10	119	236	255	255	254	151	8	32	207	255	255	255	255	255	255
45	2	92	237	255	254	254	246	77	0	96	247	255	255	255	255	255	255
41	41	212	255	255	238	211	192	24	14	162	254	255	255	255	255	255	255
186	200	252	255	255	245	128	40	3	99	244	255	255	255	255	255	255	255
255	255	255	255	255	255	217	103	87	209	254	255	255	255	255	255	255	255
255	255	255	255	255	255	255	251	248	254	255	255	255	255	255	255	255	255
